Round,Method,PSNR,SSIM,NRMSE,Dice_WT,Dice_TC,Dice_ET
Round 1 — CNN,PP-MAE CNN (clinical_risk),22.9336,0.9001,0.2345,0.9998,0.9880,0.9010
Round 1 — CNN,PP-MAE CNN (fixed),22.2417,0.8866,0.2540,0.9976,0.9737,0.9179
Round 1 — CNN,DnCNN,21.7562,0.8877,0.2688,0.9998,0.9839,0.0827
Round 1 — CNN,UNet-L1,21.3309,0.8398,0.2819,0.9980,0.9497,0.6192
Round 1 — CNN,Noise2Noise,18.2805,0.7964,0.4008,0.9816,0.6267,0.0000
Round 1 — CNN,REDNet,11.9600,0.3782,0.8295,0.9982,0.9182,0.5836
Round 2 — ViT/MAE,ViT PP-MAE 2D,14.5580,0.4722,0.6152,0.8230,0.4258,0.3657
Round 2 — ViT/MAE,VanillaMAE,15.8056,0.0624,0.5327,0.0000,0.0000,0.0000
Round 2 — ViT/MAE,SparK-CNN,15.4126,0.6415,0.5576,0.9655,0.9568,0.5482
Round 3 — Multi-task,PP-MAE Pipeline,13.5499,0.6307,0.6910,0.9051,0.8535,0.8303
Round 3 — Multi-task,MultiTask-UNet,10.9687,0.2441,0.9305,0.2497,0.1050,0.0394
Round 3 — Multi-task,TransUNet-lite,14.9405,0.6162,0.5887,0.9380,0.9826,0.1676
Round 4 — Swin,Swin PP-MAE,18.6920,0.6959,0.3821,0.9120,0.8349,0.8700
Round 4 — Swin,SwinIR-lite,22.8887,0.8926,0.2358,0.9997,0.9910,0.8475
Round 4 — Swin,Uformer-lite,19.8136,0.7516,0.3359,0.9839,0.9682,0.7552
