method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.291216,0.919381320476532,0.3143604,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.809362,0.9164873361587524,0.3135925,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.532343,0.9018656015396118,0.3225422,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.059868,0.9235529899597168,0.28791177,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.591677,0.9176897406578064,0.2922086,0.849624060150376,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.715084,0.9134916663169861,0.2882166,0.6262135922330098,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.952013,0.903713583946228,0.29978865,0.842948717948718,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.08269,0.883512020111084,0.31893733,0.8262032085561497,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.883661,0.8986290097236633,0.2822739,0.8666666666666667,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.740097,0.903082549571991,0.27713647,0.8082706766917294,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.166224,0.8884545564651489,0.28575364,0.7168610816542949,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.912281,0.9010608196258545,0.263232,0.8767361111111112,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.45756,0.887479841709137,0.26607054,0.8894192521877486,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.483707,0.8815721869468689,0.26435003,0.8713951675759938,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.759188,0.8921751976013184,0.25055006,0.8491228070175438,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.901546,0.8959821462631226,0.24143925,0.7089487402258905,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.777637,0.8849948644638062,0.24914561,0.6235489220563848,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.442833,0.8856043815612793,0.25454432,0.5822102425876011,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.161335,0.866731584072113,0.269267,0.2101534828807556,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.476097,0.8886383771896362,0.2485666,0.6120760959470637,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.014881,0.8651761412620544,0.26586166,0.4024896265560166,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.589516,0.8427315354347229,0.26752087,0.5818422796554009,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.196238,0.824023425579071,0.27104363,0.7183342972816658,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.336311,0.8146658539772034,0.25716332,0.6444699579027937,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.530155,0.8453941941261292,0.23000668,0.6761619190404797,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.388203,0.8390881419181824,0.2272651,0.7494207216153591,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.211067,0.8293074369430542,0.22787799,0.7616901408450705,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.049751,0.831071674823761,0.22293861,0.5954825462012321,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.824287,0.8336647152900696,0.2101925,0.0,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.157177,0.862306535243988,0.19764702,0.5210753401924991,0.22878228782287824,0.22878228782287824
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.25478,0.8603023290634155,0.19524044,0.5644171779141104,0.3310344827586207,0.3310344827586207
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.736788,0.8871129155158997,0.18182608,0.6224696356275303,0.4926315789473684,0.4926315789473684
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.528694,0.8815814852714539,0.18252379,0.54375,0.1670886075949367,0.1670886075949367
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.344736,0.8970566987991333,0.1822366,0.7460415381451778,0.3072100313479624,0.30963665086887837
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.303566,0.8821694850921631,0.18768874,0.4661957618567104,0.22494432071269488,0.14685314685314685
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.62276,0.8935680389404297,0.17975886,0.437569552637436,0.06549707602339182,0.07476635514018691
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.903114,0.8888984322547913,0.18428077,0.4182831661092531,0.0260707635009311,0.03125
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.646545,0.8787984251976013,0.19646701,0.5227224237251974,0.020512820512820513,0.020512820512820513
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.358559,0.897649884223938,0.17925623,0.6222222222222222,0.5044201768070723,0.37851662404092073
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.81702,0.8930478692054749,0.18573941,0.6597900165776386,0.7364307425097699,0.6703848298940324
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.267355,0.907067060470581,0.17609742,0.837825628670381,0.7554064131245339,0.6558746736292428
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.363708,0.9207156896591187,0.17227903,0.8115855479247537,0.7242798353909465,0.5907473309608541
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.868832,0.895958423614502,0.18320058,0.6362528295316037,0.5087440381558028,0.6495327102803738
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.431484,0.9157366752624512,0.16771667,0.7503561817318347,0.8728546409807355,0.6462765957446809
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.557707,0.923908531665802,0.16591856,0.8639710990690566,0.5906406179009541,0.46519823788546255
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.793491,0.9276936054229736,0.15959784,0.9008252902503847,0.4821973550356053,0.4741000877963126
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.479599,0.9300221800804138,0.16042025,0.8302621722846442,0.7807708246995442,0.5716753022452504
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.256512,0.9186514616012573,0.1689155,0.8421052631578947,0.8555102040816327,0.6714060031595577
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.906517,0.915807843208313,0.17419802,0.8541536539662711,0.7441464452958706,0.6319066147859922
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.188086,0.9267621040344238,0.16609417,0.9224318658280922,0.9012441679626749,0.705511811023622
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.015018,0.9361913204193115,0.15263648,0.9102990033222591,0.9222011385199241,0.7498132935026139
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.478714,0.9297597408294678,0.16150087,0.9054208041673449,0.8774951076320939,0.6778625954198473
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.356056,0.9366205930709839,0.16027549,0.9111297071129707,0.8920922570016474,0.6270903010033445
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.119936,0.9306241869926453,0.1640291,0.929902688438067,0.8940979489326077,0.740627390971691
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.308636,0.9406744837760925,0.14805123,0.9166372306605439,0.7967939651107968,0.6914600550964187
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.373827,0.9477089643478394,0.14519425,0.9111556446225785,0.8392267798208393,0.6873239436619718
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.013481,0.9436356425285339,0.15120608,0.8849086717503103,0.8288800454803866,0.6645367412140575
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.489763,0.9493436217308044,0.14576569,0.9420079739035883,0.8223295759527643,0.6802413273001509
