method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00020,24.113424,0.8758768439292908,0.22972605,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00022,23.634184,0.8633888363838196,0.20942768,0.8968325791855204,0.8152610441767069,0.7353668590272052
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00005,22.871979,0.8653467893600464,0.25280115,0.879179670084708,0.944234404536862,0.7796610169491526
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00017,21.603523,0.8585079908370972,0.2820255,0.8820809248554913,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00005,24.159184,0.8838015794754028,0.21372876,0.8759558198810535,0.8466917697686929,0.686595949855352
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00000,22.463104,0.8762566447257996,0.216923,0.9211895910780669,0.9059757626410364,0.7928026172300982
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00006,23.86433,0.9321413636207581,0.17644994,0.9538180155464107,0.7648514851485149,0.6678023850085179
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00009,23.36301,0.9008998274803162,0.20101415,0.0,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00006,23.780872,0.9305053353309631,0.17747046,0.9763932830372354,0.8343789209535759,0.6742857142857143
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00022,21.728508,0.7689222693443298,0.2655084,0.8487845076225793,0.4601571268237935,0.4601571268237935
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00018,24.687784,0.9317952990531921,0.16804534,0.9387417218543046,0.5361056476538354,0.5902578796561605
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00025,18.977707,0.7634660005569458,0.2986696,0.12244897959183673,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00012,21.997082,0.8960302472114563,0.21028012,0.9200773445053174,0.7490636704119851,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00000,21.633293,0.7559623122215271,0.2897745,0.8533772652388797,0.9005037783375315,0.8749181401440733
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00006,23.14878,0.8785390257835388,0.21697815,0.7487943884261289,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00018,22.501698,0.8205743432044983,0.24607728,0.4634146341463415,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00008,21.985939,0.815544843673706,0.25562105,0.37902483900643974,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00009,24.764412,0.9405556321144104,0.15819155,0.7460223924572775,0.4217687074829932,0.4217687074829932
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00012,19.08358,0.7545774579048157,0.37538832,0.8329534353630739,0.0,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00003,22.872465,0.8497909307479858,0.27176088,0.87865055387714,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00024,21.844337,0.8152828216552734,0.2958387,0.9155261915998112,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00019,29.207354,0.9372024536132812,0.13437994,0.296118621892717,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00000,22.127869,0.8174715042114258,0.24569458,0.9266409266409267,0.9513314967860422,0.8412285268089537
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00022,23.707272,0.8346427083015442,0.20472826,0.8572349339349017,0.5868187579214195,0.5868187579214195
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00011,22.718884,0.8115364909172058,0.2345306,0.923682140047207,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00021,27.33166,0.841395914554596,0.17969298,0.6396917148362236,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00026,23.92525,0.9067299365997314,0.21470475,0.7558465855940131,0.7390510948905109,0.7208216619981326
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00009,23.455387,0.9125657677650452,0.19240648,nan,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00024,19.48249,0.7292503118515015,0.4816641,0.6903973509933775,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00016,16.528494,0.6928105354309082,0.35477507,0.793289394847214,0.6528189910979229,0.4054621848739496
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00020,22.970299,0.8540197610855103,0.2697291,0.8577981651376146,0.5490981963927856,0.644793152639087
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00000,23.175383,0.8642215728759766,0.2093286,0.9293063391968138,0.9043736100815419,0.7648
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00000,24.435394,0.90737384557724,0.18201837,0.5598480050664978,0.5895734597156398,0.5895734597156398
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00026,22.916538,0.7359462976455688,0.29334182,0.00686106346483705,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00005,22.672194,0.8458781242370605,0.2642089,0.904726552833457,0.8612903225806452,0.6037735849056604
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00019,24.302319,0.8796867728233337,0.21932928,0.874741005839141,0.06521739130434782,0.09486166007905138
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00005,24.651047,0.9164062142372131,0.19496328,0.8611180124223603,0.8801389693109438,0.6126126126126126
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00003,20.915735,0.8016193509101868,0.3560611,0.7401812688821753,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00021,23.28233,0.7869791984558105,0.28379908,0.42687385740402195,0.23376623376623376,0.2669491525423729
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00025,17.77811,0.712356448173523,0.32709303,0.7248322147651006,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00003,25.16793,0.902163565158844,0.19677408,0.928006658343737,0.07161803713527852,0.08181818181818182
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00011,25.48719,0.8983282446861267,0.15284373,0.9355400696864111,0.24796084828711257,0.3013698630136986
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00011,25.493633,0.9277886152267456,0.14774543,0.9539112050739957,0.32898696088264795,0.3557483731019523
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00019,25.569061,0.9257071614265442,0.17789668,0.8685503685503686,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00017,23.308086,0.8624383211135864,0.2351806,0.7861557478368356,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00006,20.379162,0.6836609244346619,0.32468385,0.579088471849866,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00000,22.561266,0.8667414784431458,0.22613966,0.6705202312138728,0.7663551401869159,0.7559354226020892
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00019,20.99269,0.7339276075363159,0.39708984,0.7995724211651524,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00017,22.29846,0.8296144604682922,0.2657831,0.7689119170984456,nan,nan
