method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,26.048195,0.9140084385871887,0.3232801,0.006535947712418301,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.467968,0.9099074602127075,0.3261635,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.375387,0.8984081745147705,0.32842353,0.0,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.836937,0.9188589453697205,0.2953969,0.08304498269896193,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.498825,0.9156116247177124,0.2953491,0.8951048951048951,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,25.724909,0.9137064218521118,0.28789076,0.7244444444444444,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.782364,0.9009154438972473,0.30570158,0.8538587848932676,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.766144,0.8762617707252502,0.3307749,0.819371727748691,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.733849,0.8950941562652588,0.28718483,0.863030303030303,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.272568,0.892366349697113,0.29246244,0.8100092678405931,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.818789,0.8803750276565552,0.29741544,0.7623862487360971,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.428967,0.8895143270492554,0.27829432,0.8558797524314765,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.206736,0.8812447190284729,0.27386582,0.8823993685872139,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.252748,0.8754873871803284,0.2714734,0.8661538461538462,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.560444,0.8868584036827087,0.256349,0.8386206896551724,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.59134,0.8900936245918274,0.25021783,0.7012765957446808,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.548779,0.8802880644798279,0.25579736,0.6155129274395329,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.11615,0.8783456683158875,0.2643003,0.5535055350553506,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.713005,0.8549100756645203,0.2835304,0.15795868772782504,nan,nan
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,24.251396,0.8840072154998779,0.25508082,0.629045643153527,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.70928,0.8572351932525635,0.27538213,0.4231943031536114,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.42124,0.8424989581108093,0.2727542,0.6795413397706699,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,22.864225,0.813809871673584,0.2816046,0.7442383361439011,0.0,0.0
PP-MAE-v2 (mask-free) [PROPOSED],BraTS2021_00002,23.094799,0.8060153126716614,0.26441407,0.6836734693877551,0.0,0.0
