Region,Proposed,Baseline,N_subjects,Mean_diff,p_raw,p_holm,Significant_0.05
DICE_WT,PP-MAE-v2 (mask-free) [PROPOSED],PP-MAE-v1 (mask-gated),20,-0.0327,0.000167847,0.00218201,yes
DICE_WT,PP-MAE-v2 (mask-free) [PROPOSED],SwinIR + PathologyLoss,20,-0.0131,0.132727,0.39818,no
DICE_WT,PP-MAE-v2 (mask-free) [PROPOSED],SwinIR-lite (L1),20,-0.0095,0.164957,0.39818,no
DICE_WT,PP-MAE-v2 (mask-free) [PROPOSED],Uformer + PathologyLoss,20,-0.0250,0.0295753,0.207027,no
DICE_WT,PP-MAE-v2 (mask-free) [PROPOSED],Uformer-lite (L1),20,-0.0151,0.0758514,0.303406,no
DICE_TC,PP-MAE-v2 (mask-free) [PROPOSED],PP-MAE-v1 (mask-gated),20,-0.1542,0.00111563,0.0100407,yes
DICE_TC,PP-MAE-v2 (mask-free) [PROPOSED],SwinIR + PathologyLoss,20,-0.1218,0.000538517,0.00538517,yes
DICE_TC,PP-MAE-v2 (mask-free) [PROPOSED],SwinIR-lite (L1),20,-0.0335,0.354669,0.39818,no
DICE_TC,PP-MAE-v2 (mask-free) [PROPOSED],Uformer + PathologyLoss,20,-0.1414,3.62396e-05,0.000543594,yes
DICE_TC,PP-MAE-v2 (mask-free) [PROPOSED],Uformer-lite (L1),20,-0.0589,0.0401355,0.240813,no
DICE_ET,PP-MAE-v2 (mask-free) [PROPOSED],PP-MAE-v1 (mask-gated),19,-0.1788,5.34058e-05,0.000747681,yes
DICE_ET,PP-MAE-v2 (mask-free) [PROPOSED],SwinIR + PathologyLoss,20,-0.1424,0.000250216,0.00275238,yes
DICE_ET,PP-MAE-v2 (mask-free) [PROPOSED],SwinIR-lite (L1),20,-0.0612,0.0486248,0.243124,no
DICE_ET,PP-MAE-v2 (mask-free) [PROPOSED],Uformer + PathologyLoss,20,-0.1533,0.000182182,0.00218618,yes
DICE_ET,PP-MAE-v2 (mask-free) [PROPOSED],Uformer-lite (L1),19,-0.0770,0.0123596,0.098877,no
