method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
PP-MAE (Swin) [PROPOSED],BraTS2021_00036,29.922457,0.9605646133422852,0.13851254,0.9618021547502449,0.7338769458858414,0.8527131782945736
PP-MAE (Swin) [PROPOSED],BraTS2021_00070,27.991367,0.9670141339302063,0.1460551,0.9445676274944568,0.0,0.0
PP-MAE (Swin) [PROPOSED],BraTS2021_00016,28.151787,0.9850372076034546,0.090966076,0.9217391304347826,0.9153713298791019,0.8538812785388128
PP-MAE (Swin) [PROPOSED],BraTS2021_00043,29.576324,0.9835324883460999,0.092817,0.9811415639929595,0.8661899897854954,0.17964071856287425
PP-MAE (Swin) [PROPOSED],BraTS2021_00036,30.251217,0.9617413282394409,0.1368105,0.971342383107089,0.8904282115869018,0.8580441640378549
PP-MAE (Swin) [PROPOSED],BraTS2021_00020,28.54459,0.9580168128013611,0.1360024,0.9104367135455218,0.9555555555555556,0.8181818181818182
PP-MAE (Swin) [PROPOSED],BraTS2021_00035,31.288378,0.9693004488945007,0.08614466,0.9721459395841506,0.9333333333333333,0.8251928020565553
PP-MAE (Swin) [PROPOSED],BraTS2021_00062,27.684727,0.9723927974700928,0.114539,0.9773547751887102,0.0,0.0
PP-MAE (Swin) [PROPOSED],BraTS2021_00048,32.917816,0.9846847653388977,0.08092942,0.8935185185185185,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00003,32.176003,0.9765296578407288,0.09346257,0.9633235962349886,0.9637987776210625,0.8792792792792793
PP-MAE (Swin) [PROPOSED],BraTS2021_00026,30.830498,0.9794442653656006,0.09653931,0.8553113553113553,0.8723584108199492,0.8523725834797891
PP-MAE (Swin) [PROPOSED],BraTS2021_00046,28.475414,0.9625738859176636,0.13221957,0.9556603773584905,0.9478672985781991,0.9281210592686002
PP-MAE (Swin) [PROPOSED],BraTS2021_00019,33.60272,0.9800459742546082,0.077520974,0.8711921324058527,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00024,30.811642,0.9793785214424133,0.08882316,0.9613733905579399,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00016,27.49079,0.9780691266059875,0.13103545,0.0,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00019,31.832355,0.9797062277793884,0.088759094,0.8858464384828862,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00060,31.746792,0.970142662525177,0.1043681,0.9481961147086031,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00028,27.221727,0.9486111402511597,0.19149515,0.6225165562913907,0.6372881355932203,0.6372881355932203
PP-MAE (Swin) [PROPOSED],BraTS2021_00031,29.053421,0.9680336713790894,0.14556883,0.05714285714285714,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00048,31.074354,0.9621533751487732,0.115063444,0.9136490250696379,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00059,29.82318,0.9676758646965027,0.09245666,0.9407624633431085,0.0,0.0
PP-MAE (Swin) [PROPOSED],BraTS2021_00046,29.15377,0.9642899036407471,0.11427162,0.972972972972973,0.9147095179233622,0.8923512747875354
PP-MAE (Swin) [PROPOSED],BraTS2021_00028,27.648947,0.9471915364265442,0.16610473,0.8431654676258993,0.7068676716917923,0.7168458781362007
PP-MAE (Swin) [PROPOSED],BraTS2021_00036,29.889385,0.962293267250061,0.13636696,0.9578398863098058,0.9345794392523364,0.8734693877551021
PP-MAE (Swin) [PROPOSED],BraTS2021_00059,28.125214,0.9463046789169312,0.113942154,0.9292056635469162,0.8737737083060824,0.8410326086956522
PP-MAE (Swin) [PROPOSED],BraTS2021_00048,31.825005,0.9798945188522339,0.09762571,0.9548872180451128,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00026,31.264446,0.9811218976974487,0.09341819,0.774606872451951,0.8785046728971962,0.7977736549165121
PP-MAE (Swin) [PROPOSED],BraTS2021_00051,32.40566,0.9919275641441345,0.05825656,0.9854881266490765,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00071,29.938099,0.9698362946510315,0.11482159,0.914505283381364,0.9614325068870524,0.8929292929292929
PP-MAE (Swin) [PROPOSED],BraTS2021_00032,33.22284,0.9845476150512695,0.074910924,0.9507964601769912,0.0,0.0
PP-MAE (Swin) [PROPOSED],BraTS2021_00062,27.69089,0.9678520560264587,0.12224487,0.9657827202737382,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00028,28.904314,0.9539582133293152,0.12834398,0.7214076246334311,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00017,29.210817,0.9582715630531311,0.120151795,0.9310344827586207,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00033,29.14382,0.9759954810142517,0.13121602,0.9695916594265855,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00022,29.37574,0.944190263748169,0.11030123,0.9618320610687023,0.8877374784110535,0.8858131487889274
PP-MAE (Swin) [PROPOSED],BraTS2021_00033,30.221346,0.9844130277633667,0.09171997,0.9828377230246389,0.8017817371937639,0.8017817371937639
PP-MAE (Swin) [PROPOSED],BraTS2021_00052,29.649979,0.9836283326148987,0.08796637,0.965154503616042,nan,nan
PP-MAE (Swin) [PROPOSED],BraTS2021_00063,27.98941,0.9547539353370667,0.28053144,0.9671772428884027,0.8578680203045685,0.8578680203045685
