Method,pixel_acc,mean_iou,dice_wt,dice_tc,dice_et,iou_wt,iou_tc,iou_et
Oracle (clean),0.9880,0.6202,0.9999,0.9931,0.5059,0.9999,0.9866,0.3626
Noisy (no denoise),0.9861,0.5936,0.9998,0.9840,0.4788,0.9995,0.9693,0.3364
PP-MAE (fixed),0.2775,0.1874,0.2530,0.6534,0.3699,0.1461,0.4957,0.2460
PP-MAE (adaptive),0.2422,0.1282,0.2420,0.2321,0.3034,0.1388,0.1329,0.1983
PP-MAE (clinical_risk),0.3149,0.1382,0.2762,0.1152,0.3870,0.1617,0.0616,0.2649
PP-MAE (combined),0.2365,0.1831,0.2428,0.6455,0.2974,0.1393,0.4902,0.1907
DnCNN,0.9861,0.5948,0.9997,0.9838,0.4805,0.9994,0.9687,0.3388
UNet-L1,0.9578,0.2123,0.9670,0.0000,0.0000,0.9392,0.0000,0.0000
Noise2Noise,0.9862,0.5957,0.9998,0.9839,0.4811,0.9996,0.9690,0.3388
REDNet,0.9783,0.5191,0.9912,0.9535,0.4261,0.9826,0.9124,0.2910
