method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
SwinIR + PathologyLoss,BraTS2021_00006,29.89523,0.9708788990974426,0.113468595,0.8202247191011236,nan,nan
SwinIR + PathologyLoss,BraTS2021_00006,30.030079,0.9745723009109497,0.106047794,0.8057784911717496,nan,nan
SwinIR + PathologyLoss,BraTS2021_00006,30.32564,0.9754661917686462,0.10376131,0.9041980624327234,nan,nan
SwinIR + PathologyLoss,BraTS2021_00006,30.489414,0.9783288240432739,0.099726394,0.8836858006042296,nan,nan
SwinIR + PathologyLoss,BraTS2021_00006,30.602043,0.9818050861358643,0.093330234,0.9424552429667519,0.0,0.0
SwinIR + PathologyLoss,BraTS2021_00006,31.090298,0.981308102607727,0.09107898,0.9357218124341412,0.7378048780487805,0.752851711026616
SwinIR + PathologyLoss,BraTS2021_00006,31.131887,0.9829729795455933,0.08863476,0.9704142011834319,0.91701244813278,0.918552036199095
SwinIR + PathologyLoss,BraTS2021_00006,30.893572,0.984362006187439,0.08732365,0.9432684165961049,0.8978930307941653,0.8819875776397516
SwinIR + PathologyLoss,BraTS2021_00006,31.032043,0.9835634231567383,0.0868662,0.9495026778882938,0.9707006369426752,0.9407407407407408
SwinIR + PathologyLoss,BraTS2021_00006,30.984734,0.9826163649559021,0.08924307,0.9689213893967094,0.9460390355912744,0.8927943760984183
SwinIR + PathologyLoss,BraTS2021_00006,31.201056,0.9843562245368958,0.085110925,0.9627891384512236,0.9337175792507204,0.8978328173374613
SwinIR + PathologyLoss,BraTS2021_00006,31.096113,0.9846618175506592,0.08527604,0.9763001974983542,0.9613970588235294,0.8881239242685026
SwinIR + PathologyLoss,BraTS2021_00006,31.347183,0.9863992929458618,0.08058959,0.9618930547019053,0.9706621961441744,0.9215358931552587
SwinIR + PathologyLoss,BraTS2021_00006,31.114618,0.9870240688323975,0.08053947,0.9576624925462135,0.9815261044176706,0.9223140495867769
SwinIR + PathologyLoss,BraTS2021_00006,31.206972,0.9846612215042114,0.08374541,0.9632677049662063,0.9653092006033183,0.8895705521472392
SwinIR + PathologyLoss,BraTS2021_00006,31.070045,0.9868144392967224,0.080602325,0.966214265088074,0.9602888086642599,0.8837920489296636
SwinIR + PathologyLoss,BraTS2021_00006,31.133993,0.9857883453369141,0.08199526,0.9738339021615472,0.9879175550817342,0.9333333333333333
SwinIR + PathologyLoss,BraTS2021_00006,31.414597,0.9879702925682068,0.07625143,0.9517277763123186,0.9801505817932923,0.9359165424739195
SwinIR + PathologyLoss,BraTS2021_00006,31.514685,0.9879761338233948,0.07634785,0.9728876020005265,0.9850543478260869,0.9337349397590361
SwinIR + PathologyLoss,BraTS2021_00006,31.153175,0.9871416687965393,0.07866807,0.9604010025062657,0.9650259067357513,0.9106382978723404
SwinIR + PathologyLoss,BraTS2021_00006,31.011564,0.987402081489563,0.07877353,0.9824114198317614,0.9763469119579501,0.9122302158273381
SwinIR + PathologyLoss,BraTS2021_00006,31.2966,0.987043559551239,0.078461446,0.978913420987348,0.9836921069797782,0.905982905982906
SwinIR + PathologyLoss,BraTS2021_00006,31.41382,0.9892441034317017,0.07293395,0.9782244556113903,0.9817708333333334,0.8807854137447405
