method,subject,psnr,ssim,nrmse,dice_wt,dice_tc,dice_et
Uformer + PathologyLoss,BraTS2021_00006,30.57787,0.9756289720535278,0.10489233,0.8405797101449275,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,30.61522,0.9782445430755615,0.09913901,0.7966942148760331,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,30.863523,0.9788526892662048,0.097530656,0.8980891719745223,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,31.277283,0.9823511838912964,0.09107868,0.8870356330553449,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,31.493088,0.9854381084442139,0.08423064,0.9359543436905516,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00006,31.89508,0.9848023653030396,0.08301931,0.9265242313705054,0.7480916030534351,0.7335907335907336
Uformer + PathologyLoss,BraTS2021_00006,31.915382,0.9860542416572571,0.08098961,0.9619512195121951,0.9201680672268907,0.918552036199095
Uformer + PathologyLoss,BraTS2021_00006,31.717216,0.9872425198554993,0.07942361,0.9415279556124626,0.9093904448105437,0.8865979381443299
Uformer + PathologyLoss,BraTS2021_00006,31.718475,0.9862185120582581,0.080265544,0.9372128637059725,0.9735449735449735,0.9242718446601942
Uformer + PathologyLoss,BraTS2021_00006,31.707983,0.9855170845985413,0.08211301,0.9699601882012305,0.9334889148191365,0.864963503649635
Uformer + PathologyLoss,BraTS2021_00006,31.812468,0.9867003560066223,0.07932583,0.9608564737370358,0.9485148514851485,0.8935483870967742
Uformer + PathologyLoss,BraTS2021_00006,31.869026,0.9873292446136475,0.07801558,0.9751958224543081,0.9637209302325581,0.8849557522123894
Uformer + PathologyLoss,BraTS2021_00006,31.89817,0.9882603287696838,0.07563619,0.9581167838581474,0.9754445385266723,0.9195804195804196
Uformer + PathologyLoss,BraTS2021_00006,31.963243,0.9894617795944214,0.07304282,0.9574024426571344,0.982200647249191,0.9233390119250426
Uformer + PathologyLoss,BraTS2021_00006,31.855791,0.9869881868362427,0.07771774,0.962723803933079,0.9679389312977099,0.8852988691437803
Uformer + PathologyLoss,BraTS2021_00006,31.763706,0.9889016151428223,0.074415706,0.9645635263612792,0.9647058823529412,0.8817891373801917
Uformer + PathologyLoss,BraTS2021_00006,31.86223,0.9881312847137451,0.07540096,0.969287123133277,0.9820014398848093,0.9195402298850575
Uformer + PathologyLoss,BraTS2021_00006,32.060665,0.9897388815879822,0.070785545,0.9481715338068929,0.984743411927878,0.9393468118195957
Uformer + PathologyLoss,BraTS2021_00006,32.155487,0.9897362589836121,0.07091804,0.9617087783276895,0.9821673525377229,0.9139280125195618
Uformer + PathologyLoss,BraTS2021_00006,31.974268,0.9894499182701111,0.07157213,0.9585,0.9709379128137384,0.9074889867841409
Uformer + PathologyLoss,BraTS2021_00006,31.683105,0.9892696738243103,0.07291271,0.9837232960325534,0.976063829787234,0.9125925925925926
Uformer + PathologyLoss,BraTS2021_00006,31.995373,0.9891106486320496,0.07239652,0.9784493435719593,0.9748344370860927,0.8816568047337278
Uformer + PathologyLoss,BraTS2021_00006,32.08786,0.9908227920532227,0.067488186,0.9782348720401818,0.9796186719263642,0.8654124457308249
Uformer + PathologyLoss,BraTS2021_00006,31.789005,0.9897223711013794,0.07030873,0.9805687203791469,0.9738903394255874,0.8903743315508021
Uformer + PathologyLoss,BraTS2021_00006,31.945442,0.9902780055999756,0.07024222,0.971673411092597,0.981675392670157,0.9081081081081082
Uformer + PathologyLoss,BraTS2021_00006,32.25306,0.9903818368911743,0.06838688,0.9686411149825784,0.9805238415043653,0.8976608187134503
Uformer + PathologyLoss,BraTS2021_00006,32.59705,0.9910895824432373,0.06654521,0.9760900140646976,0.9720670391061452,0.8813056379821959
Uformer + PathologyLoss,BraTS2021_00006,32.28734,0.9910972118377686,0.06664648,0.976778293815693,0.9731743666169895,0.8796147672552167
Uformer + PathologyLoss,BraTS2021_00006,32.166744,0.9910519123077393,0.06854785,0.979381443298969,0.9652509652509652,0.9032258064516129
Uformer + PathologyLoss,BraTS2021_00006,32.419563,0.9917107224464417,0.066196606,0.9635586830862025,0.9865399841646872,0.9355371900826446
Uformer + PathologyLoss,BraTS2021_00006,32.78083,0.9920517802238464,0.064273074,0.9570170895908856,0.96875,0.9125874125874126
Uformer + PathologyLoss,BraTS2021_00006,32.946606,0.9928402304649353,0.06252675,0.9682920330402345,0.9569202566452796,0.882661996497373
Uformer + PathologyLoss,BraTS2021_00006,33.070835,0.9924653768539429,0.06373703,0.9756787330316742,0.966796875,0.9110320284697508
Uformer + PathologyLoss,BraTS2021_00006,33.449482,0.9929331541061401,0.0618603,0.9796968830426079,0.9516648764769066,0.8795411089866156
Uformer + PathologyLoss,BraTS2021_00006,33.538864,0.9932244420051575,0.060476013,0.9690781796966161,0.956221198156682,0.884990253411306
Uformer + PathologyLoss,BraTS2021_00006,33.318115,0.9928855299949646,0.061637606,0.9732588892153982,0.9439374185136897,0.8739130434782608
Uformer + PathologyLoss,BraTS2021_00006,33.202557,0.9928105473518372,0.06271324,0.956359102244389,0.969521044992743,0.9359823399558499
Uformer + PathologyLoss,BraTS2021_00006,33.363213,0.9932094812393188,0.060225327,0.9446172993154948,0.922360248447205,0.9
Uformer + PathologyLoss,BraTS2021_00006,34.137474,0.9932090640068054,0.058404364,0.9795361527967258,0.8929292929292929,0.8519480519480519
Uformer + PathologyLoss,BraTS2021_00006,33.68006,0.9922581911087036,0.061069287,0.9770236832803111,0.9064748201438849,0.8680351906158358
Uformer + PathologyLoss,BraTS2021_00006,33.916164,0.992880642414093,0.059184134,0.9790104947526237,0.8378378378378378,0.85
Uformer + PathologyLoss,BraTS2021_00006,33.92774,0.9920802116394043,0.0616468,0.9838187702265372,0.8416988416988417,0.8144796380090498
Uformer + PathologyLoss,BraTS2021_00006,34.255413,0.9929625988006592,0.05802567,0.9770662051060147,0.8018433179723502,0.8114285714285714
Uformer + PathologyLoss,BraTS2021_00006,33.98058,0.9931511282920837,0.05931414,0.9669920966992097,0.5435897435897435,0.6868686868686869
Uformer + PathologyLoss,BraTS2021_00006,33.999207,0.9917815327644348,0.06276223,0.9746142359382778,0.5753424657534246,0.3
Uformer + PathologyLoss,BraTS2021_00006,33.80406,0.9920135736465454,0.062313344,0.9627016129032258,0.18032786885245902,0.0
Uformer + PathologyLoss,BraTS2021_00006,33.994553,0.9918704032897949,0.061704855,0.8525214081826832,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,34.099518,0.9918239116668701,0.061884277,0.9534368070953437,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,33.803753,0.9924218058586121,0.061462644,0.8751991502920871,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,34.005703,0.9916708469390869,0.06351397,0.9823232323232324,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,33.623356,0.9905673861503601,0.067846656,0.9180327868852459,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,33.307243,0.9912052750587463,0.06692555,0.9669142471303174,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,33.109444,0.989588737487793,0.07186299,0.919908466819222,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,32.95397,0.9900082945823669,0.07277006,0.9522842639593908,0.0,nan
Uformer + PathologyLoss,BraTS2021_00006,32.795326,0.9896823167800903,0.07360643,0.904862579281184,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.78164,0.9898190498352051,0.073516175,0.9466192170818505,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.729908,0.9881268739700317,0.0780821,0.9759547383309759,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.468742,0.9884276986122131,0.0790588,0.9751552795031055,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.25443,0.9870039224624634,0.084246725,0.9793103448275862,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.301285,0.987189769744873,0.08527818,0.8543046357615894,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.33229,0.9877230525016785,0.085208364,0.9466357308584686,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.312637,0.9872889518737793,0.08656437,0.7494356659142212,nan,nan
Uformer + PathologyLoss,BraTS2021_00006,32.271763,0.9868481755256653,0.090158135,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,31.590784,0.9839015603065491,0.15235545,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.968216,0.9829151034355164,0.15336931,0.07582938388625593,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,31.020166,0.9827173948287964,0.1513553,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,31.142246,0.9836662411689758,0.14500423,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,31.126862,0.985527753829956,0.13476649,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.992142,0.985072135925293,0.13517313,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.943472,0.9849944710731506,0.13453783,0.164,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.918991,0.9845879673957825,0.13406065,0.0,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.736906,0.984468400478363,0.13348894,0.7209554831704669,0.3783783783783784,0.3783783783783784
Uformer + PathologyLoss,BraTS2021_00014,30.105116,0.9830660820007324,0.1372069,0.6921529175050302,0.3333333333333333,0.3333333333333333
Uformer + PathologyLoss,BraTS2021_00014,29.33237,0.9794393181800842,0.14698693,0.6242424242424243,0.6774193548387096,0.6774193548387096
Uformer + PathologyLoss,BraTS2021_00014,29.33447,0.9791337251663208,0.14284688,0.8181818181818182,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00014,29.092258,0.9782999157905579,0.1394849,0.8961892247043364,0.15789473684210525,0.15789473684210525
Uformer + PathologyLoss,BraTS2021_00014,28.882502,0.9759926795959473,0.13831934,0.9012567324955116,0.7428571428571429,0.7428571428571429
Uformer + PathologyLoss,BraTS2021_00014,28.841297,0.9750361442565918,0.13492465,0.8692468619246861,0.20689655172413793,0.20689655172413793
Uformer + PathologyLoss,BraTS2021_00014,28.71773,0.9740381240844727,0.13133933,0.8705882352941177,0.39263803680981596,0.39263803680981596
Uformer + PathologyLoss,BraTS2021_00014,28.64642,0.9747388958930969,0.12546442,0.9089201877934272,0.3316582914572864,0.3316582914572864
Uformer + PathologyLoss,BraTS2021_00014,28.687181,0.9715365171432495,0.12329065,0.8851317752362009,0.8022284122562674,0.8022284122562674
Uformer + PathologyLoss,BraTS2021_00014,29.004528,0.9731815457344055,0.11743368,0.8944444444444445,0.6873614190687362,0.6873614190687362
Uformer + PathologyLoss,BraTS2021_00014,29.016409,0.9711447358131409,0.115612336,0.8711832061068703,0.8148148148148148,0.8148148148148148
Uformer + PathologyLoss,BraTS2021_00014,28.9371,0.9726942777633667,0.11386601,0.926261319534282,0.7492957746478873,0.7457627118644068
Uformer + PathologyLoss,BraTS2021_00014,29.156773,0.9697210192680359,0.11337029,0.9323931978432186,0.6322188449848024,0.6280487804878049
Uformer + PathologyLoss,BraTS2021_00014,29.03357,0.9709003567695618,0.10960434,0.9048591261739486,0.6948051948051948,0.6948051948051948
Uformer + PathologyLoss,BraTS2021_00014,29.062712,0.9712080359458923,0.10597697,0.8980716253443526,0.624561403508772,0.624561403508772
Uformer + PathologyLoss,BraTS2021_00014,29.532223,0.9696314930915833,0.104410246,0.7201946472019465,0.7461538461538462,0.7461538461538462
Uformer + PathologyLoss,BraTS2021_00014,29.401207,0.9692670106887817,0.10221533,0.7981900452488688,0.7673716012084593,0.7673716012084593
Uformer + PathologyLoss,BraTS2021_00014,29.614677,0.9707403182983398,0.09939915,0.8535528596187175,0.7516339869281046,0.7516339869281046
Uformer + PathologyLoss,BraTS2021_00014,29.699593,0.971024215221405,0.10029957,0.8005476951163852,0.8760330578512396,0.8760330578512396
Uformer + PathologyLoss,BraTS2021_00014,29.829302,0.9695644378662109,0.09892267,0.5603543743078627,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00014,29.629213,0.9717286825180054,0.09760259,0.7870967741935484,0.6046511627906976,0.6046511627906976
Uformer + PathologyLoss,BraTS2021_00014,29.7027,0.972906231880188,0.09728705,0.8396551724137931,0.6203703703703703,0.64
Uformer + PathologyLoss,BraTS2021_00014,29.70176,0.9749913811683655,0.096126676,0.7550644567219152,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00014,29.694614,0.9731212854385376,0.096708916,0.662716049382716,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00014,29.795553,0.9749251008033752,0.093867704,0.6926877470355731,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,29.781479,0.9728537201881409,0.09731442,0.889083735203858,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00014,29.587286,0.97587651014328,0.09542146,0.8697788697788698,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,29.680046,0.9732215404510498,0.096575916,0.8886241810601548,0.0,0.0
Uformer + PathologyLoss,BraTS2021_00014,29.838531,0.9744257926940918,0.09574438,0.7636932707355243,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,29.87814,0.9772677421569824,0.094601385,0.8716528162511542,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.009022,0.9780029058456421,0.09351615,0.8966267682263329,nan,nan
Uformer + PathologyLoss,BraTS2021_00014,30.19554,0.9786975383758545,0.09169204,0.40973630831643004,nan,nan
